,year,country,admin1,admin2,hhid,hhweight,urban,hhsize,head_age,head_male,head_literate,nrooms,tv,music,fridge,exp,totbiom_cons,elec_cons,gas_cons,frwd_exp,frwd_cons,petrol_exp,scooter,car,publictransport_exp,publictransport,washmach,elec_any
143,2011,IND,Jammu and Kashmir,Srinagar,103030802,1844.57654723,1,3.0,37.0,1.0,1.0,3.0,1,,1,2265.6934656529897,0.0,2.16,2.547096774193547,0.0,0.0,0.0,0,0,90.08522537994266,1,1,1
144,2011,IND,Jammu and Kashmir,Srinagar,103031101,1844.57654723,1,9.0,75.0,1.0,0.0,7.0,1,,1,1709.4672462792778,0.0,0.864,0.9096774193548389,0.0,0.0,450.426126899713,1,0,100.09469486660299,1,0,1
145,2011,IND,Jammu and Kashmir,Srinagar,103031201,1844.57654723,1,5.0,59.0,1.0,1.0,2.0,1,,1,2476.02244797618,0.0,1.5984,1.5282580645161281,0.0,0.0,0.0,0,0,180.1704507598854,1,1,1
146,2011,IND,Jammu and Kashmir,Srinagar,103031301,1844.57654723,1,6.0,62.0,1.0,1.0,6.0,1,,1,1328.6569796592883,0.0,1.26,1.516129032258065,0.0,0.0,0.0,0,0,6.005681691996183,1,1,1
147,2011,IND,Jammu and Kashmir,Srinagar,103031501,1844.57654723,1,5.0,52.0,1.0,1.0,3.0,1,,1,3620.5252080199,0.0,1.512,1.8193548387096778,0.0,0.0,0.0,0,0,180.1704507598854,1,1,1
148,2011,IND,Jammu and Kashmir,Srinagar,103040101,1844.57654723,1,5.0,57.0,1.0,1.0,6.0,1,,1,5261.30747468172,0.0,1.36944,0.909677419354838,0.0,0.0,0.0,0,0,216.20454091186198,1,1,1
149,2011,IND,Jammu and Kashmir,Srinagar,103040201,1844.57654723,1,5.0,50.0,1.0,1.0,4.0,1,,1,3115.1470936384203,0.0,1.36512,0.909677419354838,0.0,0.0,0.0,0,0,162.15340568389678,1,1,1
150,2011,IND,Jammu and Kashmir,Srinagar,103040301,1844.57654723,1,5.0,49.0,1.0,0.0,2.0,1,,1,4388.74198165158,0.0,1.36944,1.892129032258064,0.0,0.0,0.0,0,0,180.1704507598854,1,0,1
151,2011,IND,Jammu and Kashmir,Srinagar,103040401,1844.57654723,1,6.0,70.0,1.0,1.0,5.0,1,,1,2499.2394124505,0.0,1.08,1.2735483870967734,0.0,0.0,180.170450759885,1,0,7.507102114995217,1,1,1
152,2011,IND,Jammu and Kashmir,Srinagar,103040501,1844.57654723,1,4.0,55.0,0.0,0.0,7.0,1,,1,2847.106012622525,0.0,1.485,2.456129032258065,0.0,0.0,0.0,0,0,225.21306344985675,1,1,1
153,2011,IND,Jammu and Kashmir,Srinagar,103040601,1844.57654723,1,11.0,55.0,1.0,1.0,,1,,1,5073.572594845227,0.0,0.5890909090909091,0.8600586510263927,0.0,0.0,,1,1,,1,1,1
