"year","country","admin1","variable","value"
"2005","GHA","Upper East","totbiom_cons",0.875046089777457
"2005","GHA","Upper West","totbiom_cons",0.801966031029579
"2005","GHA","Volta","totbiom_cons",1.17145380251623
"2005","GHA","Western","totbiom_cons",1.13868151849089
"2008","BRA","Acre","elec_cons",1.25173494514895
"2008","BRA","Alagoas","elec_cons",1.73181238249271
"2008","BRA","Amapa","elec_cons",2.1083205287493
"2008","BRA","Amazonas","elec_cons",1.54158513042038
"2008","BRA","Bahia","elec_cons",1.57155819723906
"2008","BRA","Ceara","elec_cons",0.934476319077351
"2008","BRA","Distrito Federal","elec_cons",2.6385889113561
"2008","BRA","Espirito Santo","elec_cons",2.02673243819942
"2008","BRA","Goias","elec_cons",1.79865092917127
"2008","BRA","Maranhao","elec_cons",1.37356140280263
"2008","BRA","Mato Grosso","elec_cons",2.01792422329635
"2008","BRA","Mato Grosso do Sul","elec_cons",2.13871377143446
"2008","BRA","Minas Gerais","elec_cons",2.14079748066307
"2008","BRA","Para","elec_cons",1.48977660623201
"2008","BRA","Paraiba","elec_cons",1.36513404670787
"2008","BRA","Parana","elec_cons",2.70352056440048
"2008","BRA","Pernambuco","elec_cons",1.50046045061283
"2008","BRA","Piaui","elec_cons",1.2401970552291
"2008","BRA","Rio Grande do Norte","elec_cons",1.89543215047548
"2008","BRA","Rio Grande do Sul","elec_cons",2.51357534462211
"2008","BRA","Rio de Janeiro","elec_cons",2.73712051051768
"2008","BRA","Rondonia","elec_cons",2.02976591076102
"2008","BRA","Roraima","elec_cons",2.08456316155952
"2008","BRA","Santa Catarina","elec_cons",2.53000481574651
"2008","BRA","Sao Paulo","elec_cons",2.49376993441249
"2008","BRA","Sergipe","elec_cons",1.52463060094418
"2008","BRA","Tocantins","elec_cons",1.11737566517625
"2008","BRA","Acre","gas_cons",1.45500199220287
"2008","BRA","Alagoas","gas_cons",1.56396149481125
"2008","BRA","Amapa","gas_cons",1.48726273417579
"2008","BRA","Amazonas","gas_cons",1.1631995586436
"2008","BRA","Bahia","gas_cons",1.50295239347882
"2008","BRA","Ceara","gas_cons",1.30282888630121
"2008","BRA","Distrito Federal","gas_cons",1.55031518331528
"2008","BRA","Espirito Santo","gas_cons",1.60930905561102
"2008","BRA","Goias","gas_cons",1.85410515591316
"2008","BRA","Maranhao","gas_cons",1.39641238838299
"2008","BRA","Mato Grosso","gas_cons",1.39943467382317
"2008","BRA","Mato Grosso do Sul","gas_cons",1.61594823724534
"2008","BRA","Minas Gerais","gas_cons",1.70379087189672
"2008","BRA","Para","gas_cons",1.41268966301441
"2008","BRA","Paraiba","gas_cons",1.71621546267655
"2008","BRA","Parana","gas_cons",1.63668979665383
"2008","BRA","Pernambuco","gas_cons",1.66377165783078
"2008","BRA","Piaui","gas_cons",1.51834994851694
"2008","BRA","Rio Grande do Norte","gas_cons",1.73703469615506
"2008","BRA","Rio Grande do Sul","gas_cons",1.77387608597589
"2008","BRA","Rio de Janeiro","gas_cons",1.76437776075755
"2008","BRA","Rondonia","gas_cons",1.37802772404893
"2008","BRA","Roraima","gas_cons",1.23504494407856
"2008","BRA","Santa Catarina","gas_cons",1.43723536961561
"2008","BRA","Sao Paulo","gas_cons",1.75965828542335
"2008","BRA","Sergipe","gas_cons",1.70903331956031
"2008","BRA","Tocantins","gas_cons",1.50080828638212
"2008","BRA","Acre","totbiom_cons",0.0648141922758328
"2008","BRA","Alagoas","totbiom_cons",0.0385069451878821
"2008","BRA","Amapa","totbiom_cons",0.00974144555152778
"2008","BRA","Amazonas","totbiom_cons",0.0235361192281103
"2008","BRA","Bahia","totbiom_cons",0.27551202897045
"2008","BRA","Ceara","totbiom_cons",0.00628834610425719
"2008","BRA","Distrito Federal","totbiom_cons",0.0275801592683193
"2008","BRA","Espirito Santo","totbiom_cons",0.0242555997856266
"2008","BRA","Goias","totbiom_cons",0.0154062439147027
"2008","BRA","Maranhao","totbiom_cons",0.0699131797672381
"2008","BRA","Mato Grosso","totbiom_cons",0.0172579363678171
"2008","BRA","Mato Grosso do Sul","totbiom_cons",0.0578439899993144
"2008","BRA","Minas Gerais","totbiom_cons",0.0395087377468899
"2008","BRA","Para","totbiom_cons",0.0468488418511329
"2008","BRA","Paraiba","totbiom_cons",0.0100945349569034
"2008","BRA","Parana","totbiom_cons",0.0191847315556891
"2008","BRA","Pernambuco","totbiom_cons",0.0219702931550459
"2008","BRA","Piaui","totbiom_cons",0.0845057271415903
"2008","BRA","Rio Grande do Norte","totbiom_cons",0.03288725797555
"2008","BRA","Rio Grande do Sul","totbiom_cons",0.0238190463061109
"2008","BRA","Rio de Janeiro","totbiom_cons",0.00763514465065235
"2008","BRA","Rondonia","totbiom_cons",0.0120523526101356
"2008","BRA","Roraima","totbiom_cons",0.0203370514652657
"2008","BRA","Santa Catarina","totbiom_cons",0.0498624587667943
"2008","BRA","Sao Paulo","totbiom_cons",0.0239052838522492
"2008","BRA","Sergipe","totbiom_cons",0.0190044637926115
"2008","BRA","Tocantins","totbiom_cons",0.0943680697507354
"2010","MNG","Arhangay","elec_cons",0.699944236929152
"2010","MNG","Bayan-Olgiy","elec_cons",0.424549888835897
"2010","MNG","Bayanhongor","elec_cons",0.591907281341783
"2010","MNG","Bulgan","elec_cons",0.762546741748788
"2010","MNG","Darhan-Uul","elec_cons",1.93369119482317
"2010","MNG","Dornod","elec_cons",1.05331149944249
"2010","MNG","Dornogovi","elec_cons",1.44175523161541
"2010","MNG","Dundgovi","elec_cons",0.900985380275089
"2010","MNG","Dzavhan","elec_cons",0.993033833761549
"2010","MNG","Govi-Altay","elec_cons",0.617152318395278
"2010","MNG","Hentiy","elec_cons",1.05081098548004
"2010","MNG","Hovd","elec_cons",0.986202807348594
"2010","MNG","Hovsgol","elec_cons",0.889777358160958
"2010","MNG","Omnogovi","elec_cons",1.03248926784925
"2010","MNG","Orhon","elec_cons",1.95115220375274
"2010","MNG","Ovorhangay","elec_cons",0.849878491506449
"2010","MNG","Selenge","elec_cons",1.47926975756926
"2010","MNG","Suhbaatar","elec_cons",1.07318666002141
"2010","MNG","Tov","elec_cons",1.72038426753167
"2010","MNG","Ulaanbaatar","elec_cons",2.07271258827595
"2010","MNG","Uvs","elec_cons",1.38767774092563
"2010","MNG","Arhangay","gas_cons",0.000123656003011597
"2010","MNG","Bayan-Olgiy","gas_cons",0.00537490938224044
"2010","MNG","Bayanhongor","gas_cons",0.000836701436710902
"2010","MNG","Bulgan","gas_cons",0.00154409076477218
"2010","MNG","Darhan-Uul","gas_cons",0.0046302690067225
"2010","MNG","Dornod","gas_cons",0.0013170624900068
"2010","MNG","Dornogovi","gas_cons",0.000183925248227316
"2010","MNG","Dundgovi","gas_cons",0.00016547153966549
"2010","MNG","Dzavhan","gas_cons",0.000124180389969955
"2010","MNG","Govi-Altay","gas_cons",0.000108842795284893
"2010","MNG","Hentiy","gas_cons",0.00030132891802952
"2010","MNG","Hovd","gas_cons",4.51708690096145e-05
"2010","MNG","Hovsgol","gas_cons",0.000140426245828468
"2010","MNG","Omnogovi","gas_cons",0.0759569031242577
"2010","MNG","Orhon","gas_cons",0.000757920245329537
"2010","MNG","Ovorhangay","gas_cons",4.15116623043996e-05
"2010","MNG","Selenge","gas_cons",0.000116758632893655
"2010","MNG","Suhbaatar","gas_cons",0.00810305015303386
"2010","MNG","Tov","gas_cons",0.00405011730357295
"2010","MNG","Ulaanbaatar","gas_cons",0.00326810536161283
"2010","MNG","Uvs","gas_cons",0.000128909860444126
"2010","MNG","Arhangay","totbiom_cons",13.3921186972629
"2010","MNG","Bayan-Olgiy","totbiom_cons",7.66268959609018
"2010","MNG","Bayanhongor","totbiom_cons",6.58944028972811
"2010","MNG","Bulgan","totbiom_cons",15.4824367665717
"2010","MNG","Darhan-Uul","totbiom_cons",3.39231400412745
"2010","MNG","Dornod","totbiom_cons",17.2574794057045
"2010","MNG","Dornogovi","totbiom_cons",6.41690488155688
"2010","MNG","Dundgovi","totbiom_cons",1.20989829934258
"2010","MNG","Dzavhan","totbiom_cons",17.2428345149005
"2010","MNG","Govi-Altay","totbiom_cons",5.17840982335824
"2010","MNG","Hentiy","totbiom_cons",9.71477503720206
"2010","MNG","Hovd","totbiom_cons",6.46387334577377
"2010","MNG","Hovsgol","totbiom_cons",24.0517067873845
"2010","MNG","Omnogovi","totbiom_cons",6.49149435720841
"2010","MNG","Orhon","totbiom_cons",1.64643845578091
"2010","MNG","Ovorhangay","totbiom_cons",16.6086501746906
"2010","MNG","Selenge","totbiom_cons",8.59772500284248
"2010","MNG","Suhbaatar","totbiom_cons",11.3624479182212
"2010","MNG","Tov","totbiom_cons",12.7820088922334
"2010","MNG","Ulaanbaatar","totbiom_cons",1.93678252163997
"2010","MNG","Uvs","totbiom_cons",15.1769329468663
"2010","VNM","An Giang","elec_cons",1.15941769553627
"2010","VNM","Ba Ria - Vung Tau","elec_cons",1.73958397773156
"2010","VNM","Bac Giang","elec_cons",0.853474824502913
"2010","VNM","Bac Kan","elec_cons",0.775109710730819
"2010","VNM","Bac Lieu","elec_cons",0.902910479478761
"2010","VNM","Bac Ninh","elec_cons",1.63567720599403
"2010","VNM","Ben Tre","elec_cons",1.01620477641427
"2010","VNM","Binh Dinh","elec_cons",1.0092095382612
"2010","VNM","Binh Duong","elec_cons",1.36245126072178
"2010","VNM","Binh Phuoc","elec_cons",1.28270960125208
"2010","VNM","Binh Thuan","elec_cons",1.25828159820581
"2010","VNM","Ca Mau","elec_cons",1.07187492343423
"2010","VNM","Can Tho","elec_cons",1.27388659567754
"2010","VNM","Cao Bang","elec_cons",1.01027302686835
"2010","VNM","Da Nang","elec_cons",1.96110066671289
"2010","VNM","Dac Lak","elec_cons",1.04188705709836
"2010","VNM","Dak Nong","elec_cons",0.779466408690179
"2010","VNM","Dien Bien","elec_cons",0.728166265831039
"2010","VNM","Dong Nai","elec_cons",1.49320416923283
"2010","VNM","Dong Thap","elec_cons",0.866286089941193
"2010","VNM","Gia Lai","elec_cons",0.950697505802354
"2010","VNM","Ha Giang","elec_cons",0.757465182657249
"2010","VNM","Ha Nam","elec_cons",0.797465978096429
"2010","VNM","Ha Noi","elec_cons",2.01573543940894
"2010","VNM","Ha Tinh","elec_cons",0.874777519309445
"2010","VNM","Hai Duong","elec_cons",0.997292097076261
"2010","VNM","Hai Phong","elec_cons",1.47460468091386
"2010","VNM","Hau Giang","elec_cons",0.880692990178624
"2010","VNM","Ho Chi Minh","elec_cons",2.25816298922688
"2010","VNM","Hoa Binh","elec_cons",0.652409283875187
"2010","VNM","Hung Yen","elec_cons",1.29799047693812
"2010","VNM","Khanh Hoa","elec_cons",1.22709706709006
"2010","VNM","Kien Giang","elec_cons",1.20779224773421
"2010","VNM","Kon Tum","elec_cons",1.08119302627077
"2010","VNM","Lai Chau","elec_cons",0.587523814089336
"2010","VNM","Lam Dong","elec_cons",0.938904865638311
"2010","VNM","Lang Son","elec_cons",0.7946854021134
"2010","VNM","Lao Cai","elec_cons",1.05790895129037
"2010","VNM","Long An","elec_cons",1.03120859423439
"2010","VNM","Nam Dinh","elec_cons",1.09542831204473
"2010","VNM","Nghe An","elec_cons",1.05487821840249
"2010","VNM","Ninh Binh","elec_cons",1.04405929336416
"2010","VNM","Ninh Thuan","elec_cons",1.16344263493014
"2010","VNM","Phu Tho","elec_cons",1.2076835669429
"2010","VNM","Phu Yen","elec_cons",1.18781918558134
"2010","VNM","Quang Binh","elec_cons",1.09426243945035
"2010","VNM","Quang Nam","elec_cons",1.09426312961646
"2010","VNM","Quang Ngai","elec_cons",0.732475180034877
"2010","VNM","Quang Ninh","elec_cons",1.59030459595007
"2010","VNM","Quang Tri","elec_cons",1.18596092765988
"2010","VNM","Soc Trang","elec_cons",1.00351595572543
"2010","VNM","Son La","elec_cons",0.763986144117279
"2010","VNM","Tay Ninh","elec_cons",1.25333188950247
"2010","VNM","Thai Binh","elec_cons",0.94882204755033
"2010","VNM","Thai Nguyen","elec_cons",0.88644855064762
"2010","VNM","Thanh Hoa","elec_cons",0.911067223162095
"2010","VNM","Thua Thien Hue","elec_cons",0.926253746531989
"2010","VNM","Tien Giang","elec_cons",1.07173577942054
"2010","VNM","Tra Vinh","elec_cons",0.632365870832534
"2010","VNM","Tuyen Quang","elec_cons",0.578957965824136
"2010","VNM","Vinh Long","elec_cons",1.39138788468004
"2010","VNM","Vinh Phuc","elec_cons",1.00426860897005
"2010","VNM","Yen Bai","elec_cons",1.23126491154548
"2010","VNM","An Giang","gas_cons",0.442890504341522
"2010","VNM","Ba Ria - Vung Tau","gas_cons",0.706995633862285
"2010","VNM","Bac Giang","gas_cons",0.334795381872264
"2010","VNM","Bac Kan","gas_cons",0.177943576121109
"2010","VNM","Bac Lieu","gas_cons",0.384740519976459
"2010","VNM","Bac Ninh","gas_cons",0.385375260155065
"2010","VNM","Ben Tre","gas_cons",0.287901110666112
"2010","VNM","Binh Dinh","gas_cons",0.393576128534452
"2010","VNM","Binh Duong","gas_cons",0.653823509532505
"2010","VNM","Binh Phuoc","gas_cons",0.410508949866475
"2010","VNM","Binh Thuan","gas_cons",0.477999851794746
"2010","VNM","Ca Mau","gas_cons",0.425001420274569
"2010","VNM","Can Tho","gas_cons",0.607353430256563
"2010","VNM","Cao Bang","gas_cons",0.203863723705799
"2010","VNM","Da Nang","gas_cons",0.511012427426703
"2010","VNM","Dac Lak","gas_cons",0.356039540148107
"2010","VNM","Dak Nong","gas_cons",0.327357686416703
"2010","VNM","Dien Bien","gas_cons",0.230473041219471
"2010","VNM","Dong Nai","gas_cons",0.562141611579496
"2010","VNM","Dong Thap","gas_cons",0.30727702231962
"2010","VNM","Gia Lai","gas_cons",0.480066336258673
"2010","VNM","Ha Giang","gas_cons",0.200549906779358
"2010","VNM","Ha Nam","gas_cons",0.405240263001342
"2010","VNM","Ha Noi","gas_cons",0.534149021909307
"2010","VNM","Ha Tinh","gas_cons",0.21121511968168
"2010","VNM","Hai Duong","gas_cons",0.222112667011868
"2010","VNM","Hai Phong","gas_cons",0.465535457350972
"2010","VNM","Hau Giang","gas_cons",0.333485375077833
"2010","VNM","Ho Chi Minh","gas_cons",0.819853342660378
"2010","VNM","Hoa Binh","gas_cons",0.232606539678828
"2010","VNM","Hung Yen","gas_cons",0.334978918067936
"2010","VNM","Khanh Hoa","gas_cons",0.32146392606164
"2010","VNM","Kien Giang","gas_cons",0.367799300392341
"2010","VNM","Kon Tum","gas_cons",0.314136751748111
"2010","VNM","Lai Chau","gas_cons",0.270942549326581
"2010","VNM","Lam Dong","gas_cons",0.476988354533729
"2010","VNM","Lang Son","gas_cons",0.331934704395884
"2010","VNM","Lao Cai","gas_cons",0.279843783255089
"2010","VNM","Long An","gas_cons",0.445498874102361
"2010","VNM","Nam Dinh","gas_cons",0.376548039487392
"2010","VNM","Nghe An","gas_cons",0.253870939934669
"2010","VNM","Ninh Binh","gas_cons",0.287580271898286
"2010","VNM","Ninh Thuan","gas_cons",0.306795650174759
"2010","VNM","Phu Tho","gas_cons",0.379855608366733
"2010","VNM","Phu Yen","gas_cons",0.324655480577532
"2010","VNM","Quang Binh","gas_cons",0.353136343358512
"2010","VNM","Quang Nam","gas_cons",0.209981319607315
"2010","VNM","Quang Ngai","gas_cons",0.282319860335654
"2010","VNM","Quang Ninh","gas_cons",0.511237298186585
"2010","VNM","Quang Tri","gas_cons",0.240364777477728
"2010","VNM","Soc Trang","gas_cons",0.249369537461466
"2010","VNM","Son La","gas_cons",0.230452417899638
"2010","VNM","Tay Ninh","gas_cons",0.523078975102128
"2010","VNM","Thai Binh","gas_cons",0.298697359384919
"2010","VNM","Thai Nguyen","gas_cons",0.418076859731917
"2010","VNM","Thanh Hoa","gas_cons",0.217916252716868
"2010","VNM","Thua Thien Hue","gas_cons",0.289701587006782
"2010","VNM","Tien Giang","gas_cons",0.296755077362125
